SPEC,LL,K,AIC,BIC,HitRate
TIME_COST_SPECIFIC,-698.3212638807404,5,1406.6425277614808,1433.2086296969323,0.7993333333333333
TIME_SPECIFIC_COST_GENERIC,-702.8961337064003,4,1413.7922674128006,1435.0451489611619,0.7926666666666666
TIME_GENERIC_COSTxRENDA_LMH_SPECIFIC,-704.2984458052563,8,1424.5968916105126,1467.102654707235,0.7886666666666666
TIME_GENERIC_COST_SPECIFIC,-718.92837171069,4,1445.85674342138,1467.1096249697414,0.7873333333333333
TIME_GENERIC_COSTxRENDA_ALLFAIXAS_SPECIFIC,-696.415636972199,14,1420.831273944398,1495.2163593636621,0.792
TIME_GENERIC_COSTxRENDA_LH_SPECIFIC,-744.0412060681914,6,1500.0824121363828,1531.9617344589246,0.778
TIME_COST_GENERIC,-762.1971936359168,3,1530.3943872718337,1546.3340484331045,0.7713333333333333
TIME_COSTxRENDA_LMH_GENERIC,-759.5402915089076,5,1529.0805830178151,1555.6466849532667,0.7746666666666666
TIME_GENERIC_COSTxRENDA_ALLFAIXAS_GENERIC,-751.551769608533,8,1519.103539217066,1561.6093023137885,0.7753333333333333
TIME_COSTxRENDA_LH_GENERIC,-784.1702046793308,4,1576.3404093586616,1597.593290907023,0.7646666666666667
